MaterialName, GlobalWarmingPotential,,, Acidification,,, DepletionOfNonrenewbles,,, DepletionOfOzoneLayer,,, Eutrophication,,, FormationTroposphericOzone,,
Steel sections,2.939,0.000699,-1.406,0.00945,0.00000425,-0.005285,32.32,0.009334,-16.79,5.02E-09,1E-12,4.09E-10,0.0008276,0.000000583,-0.0004249,0.001245,0.000000451,-0.0008018
Reinforced Steel (wire) ,0.7639,0,0,0.001795,0,0,9.155,0,0,2.53E-09,0,0,0.0001514,0,0,0.0001784,0,0
Steel hot rolled coil; 2-20 mm,2.533,0.000699,-1.406,0.008796,0.00000425,-0.005285,28.43,0.009334,-16.79,3.14E-09,1E-12,4.09E-10,0.0007616,0.000000583,-0.0004249,0.001206,0.000000451,-0.0008018
Cast Iron Component ,2.819,0,0,0.004079,0,0,30.76,0,0,1.01E-08,0,0,0.0004414,0,0,0.0003089,0,0
Rain drain pipe (SML pipe),2.813,0.006054,-0.8311,0.009481,0.000008523,-0.003125,34,0.01867,-9.929,1.6E-09,1E-12,2.42E-10,0.0007686,0.000001306,-0.0002512,0.002208,0.000002213,-0.0004741
Steel forged component,2.81,0,0,0.00915,0,0,32.53,0,0,3.53E-09,0,0,0.0007413,0,0,0.001253,0,0
Stainless steel sheet ,5.567,0.003027,-2.709,0.04591,0.000004261,-0.02671,63.59,0.009334,-35.98,-8.27E-09,1E-12,0,0.004015,0.000000653,-0.001501,0.001107,0.000001106,-0.001447
Stainless steel drinking water pipe,4.108,0.006054,-0.5069,0.02426,0.000008523,-0.001906,45.41,0.01867,-6.056,9.6E-09,1E-12,1.48E-10,0.001367,0.000001306,-0.0001532,0.001472,0.000002213,-0.0002891
Aluminium sheet ,11.27,0.003027,-10.23,0.05891,0.000004261,-0.06039,112.9,0.009334,-102.1,0.000000296,1E-12,-0.000000125,0.002755,0.000000653,-0.002768,0.003477,0.000001106,-0.003252
Aluminium profile,11.25,0.003027,-10.23,0.05835,0.000004261,-0.06039,113.7,0.009334,-102.1,0.000000301,1E-12,-0.000000125,0.002704,0.000000653,-0.002768,0.003216,0.000001106,-0.003252
Aluminium cast parts ,13.62,0.003027,-10.23,0.07754,0.000004261,-0.06039,135.4,0.009334,-102.1,0.000000164,1E-12,-0.000000125,0.003565,0.000000653,-0.002768,0.003978,0.000001106,-0.003252
Steel sheet HDG ,17.9,0,0,0.05932,0,0,200.3,0,0,3.26E-08,0,0,0.005158,0,0,0.007975,0,0
CEM II 32.5,0.7195,0,0,0.0008726,0,0,2.634,0,0,4.8E-11,0,0,0.0001319,0,0,0.0001026,0,0
CEM II 42.5,0.7315,0,0,0.0008983,0,0,2.778,0,0,5.6E-11,0,0,0.0001347,0,0,0.0001044,0,0
CEM II 52.5,0.7468,0,0,0.0009313,0,0,2.964,0,0,6.6E-11,0,0,0.0001383,0,0,0.0001067,0,0
CEM II/A,0.8015,0,0,0.0009688,0,0,2.963,0,0,6E-11,0,0,0.000144,0,0,0.0001128,0,0
CEM II/B,0.6661,0,0,0.0008343,0,0,2.625,0,0,5.4E-11,0,0,0.0001261,0,0,0.00009663,0,0
CEM III 42.5,0.3435,0,0,0.0004451,0,0,1.485,0,0,4.1E-11,0,0,0.00006468,0,0,0.00004942,0,0
CEM III 52.5,0.3589,0,0,0.0004781,0,0,1.671,0,0,5.1E-11,0,0,0.00006825,0,0,0.00005174,0,0
CEM IV 42.5,0.6995,0,0,0.001035,0,0,3.523,0,0,5.7E-11,0,0,0.0001742,0,0,0.0001206,0,0
Ready-mix concrete C20/25,0.09889,0,0,0.000156,0,0,0.4803,0,0,5.5E-11,0,0,0.00002829,0,0,0.000004906,0,0
Ready-mix concrete C30/37,0.1208,0,0,0.0001635,0,0,0.4672,0,0,7.2E-11,0,0,0.00002745,0,0,0.000004376,0,0
Timber beech,-1225,0,0,0.3462,0,0,3391,0,0,0.000000333,0,0,0.05211,0,0,0.2211,0,0
Timber oak,-1187,0,0,0.388,0,0,3296,0,0,0.000000324,0,0,0.051,0,0,0.2212,0,0
Timber spruce,-766.4,0,0,0.3206,0,0,2555,0,0,0.000000258,0,0,0.05495,0,0,0.01768,0,0
Timber pine,-876.8,0,0,0.3418,0,0,2866,0,0,0.000000293,0,0,0.05703,0,0,0.02282,0,0
Timber larch,-999.6,0,0,0.7598,0,0,4137,0,0,0.000002407,0,0,0.1258,0,0,0.05304,0,0
Timber cedar,-1011,0,0,0.3644,0,0,3232,0,0,0.000000335,0,0,0.05885,0,0,0.02277,0,0
Solid construction timber (softwood),-722.3,0,0,0.6296,0,0,3743,0,0,0.000000676,0,0,0.07702,0,0,0.04607,0,0
"Laminated woodboard softwood, 515 kg/m3 density at 12% moisture ",-676.1,0,0,0.6933,0,0,4291,0,0,0.000000759,0,0,0.08739,0,0,0.04342,0,0
Glued laminated timber,-667.9,0,0,0.6988,0,0,4394,0,0,0.000000763,0,0,0.08819,0,0,0.04483,0,0
Three-Layers laminated wood panel pine,-567.1,0,0,1.177,0,0,3230,0,0,0.0002265,0,0,0.1454,0,0,0.1827,0,0
"Five-Layers laminated wood board, pine",-637.7,0,0,0.9594,0,0,2630,0,0,0.0001356,0,0,0.1324,0,0,0.1218,0,0
Plywood board; 5% moisture ,-775.5,0,0,1.306,0,0,2935,0,0,0.000000055,0,0,0.1423,0,0,0.1128,0,0
Laminated veneer lumber; 465 kg/m3 density at 12% moisture ,-373.5,0,0,1.411,0,0,8681,0,0,0.000000575,0,0,0.205,0,0,0.06347,0,0
Lime (CaO; finelime) ,1.45,0,0,0.0004154,0,0,6.357,0,0,1.25E-10,0,0,0.00006802,0,0,0.00003411,0,0
Calcium hydroxide (Ca(OH)2; dry; slaked lime,1.112,0,0,0.0003165,0,0,4.872,0,0,1.05E-10,0,0,0.00005119,0,0,0.00002915,0,0
Anhydrite (CaSO4); grinded and purified product,0.09746,0,0,0.0005819,0,0,1.759,0,0,1.35E-10,0,0,0.00002418,0,0,0.00003475,0,0
Gypsum plaster (CaSO4 alpha semihydrate) ,0.2604,0,0,0.0002927,0,0,3.697,0,0,1.69E-10,0,0,0.00003565,0,0,0.00003297,0,0
Gypsum plaster (CaSO4 beta semihydrate) ,0.1138,0,0,0.0001279,0,0,1.643,0,0,1.03E-10,0,0,0.00001671,0,0,0.00001513,0,0
Gypsum stone (CaSO4-Dihydrate); grinded and purified product ,0.002612,0,0,0.0000128,0,0,0.03049,0,0,7E-12,0,0,0.000003058,0,0,0.000001591,0,0
Clay powder,0.352,0,0,0.0004006,0,0,1.289,0,0,1.37E-10,0,0,0.00004211,0,0,0.00002816,0,0
Gravel (Grain size 2/32) ,0.008773,0,0,0.00002929,0,0,0.1008,0,0,8E-12,0,0,0.000006452,0,0,-0.000007162,0,0
Sand (grain size 0/2) ,0.008773,0,0,0.00002929,0,0,0.1008,0,0,8E-12,0,0,0.000006452,0,0,-0.000007162,0,0
Sand grain 0-2mm (dried) ,0.04293,0,0,0.00005893,0,0,0.6545,0,0,1.1E-11,0,0,0.00001096,0,0,-0.000003608,0,0
"Limestone, crushed stone fines (Grain size 0/4) ",0.02163,0,0,0.00005355,0,0,0.2451,0,0,7E-11,0,0,0.000009634,0,0,-0.000005717,0,0
Crushed sand grain 0-2mm ,0.04322,0,0,0.00007088,0,0,0.5981,0,0,7.1E-11,0,0,0.00001214,0,0,-0.000003004,0,0
"Limestone, gravel (grain size 16/32) ",0.02163,0,0,0.00005355,0,0,0.2451,0,0,7E-11,0,0,0.000009634,0,0,-0.000005717,0,0
Crushed rock 16-32 mm,0.04322,0,0,0.00007088,0,0,0.5981,0,0,7.1E-11,0,0,0.00001214,0,0,-0.000003004,0,0
"Limestone, crushed gravel, grain size 2/16",0.02163,0,0,0.00005355,0,0,0.2451,0,0,7E-11,0,0,0.000009634,0,0,-0.000005717,0,0
Crushed stone grain 2-15mm,0.04322,0,0,0.00007088,0,0,0.5981,0,0,7.1E-11,0,0,0.00001214,0,0,-0.000003004,0,0
Light-weight sand pumice (grain size 0/4) ,0.008569,0,0,0.00005484,0,0,0.1105,0,0,7E-12,0,0,0.00001361,0,0,-0.000001079,0,0
Lava granulate,0.006053,0,0,0.00004568,0,0,0.08371,0,0,0,0,0,0.00001131,0,0,-0.000001145,0,0
Pumice gravel (grain size 4/16) ,0.008589,0,0,0.00005497,0,0,0.1108,0,0,7E-12,0,0,0.00001365,0,0,-0.000001081,0,0
Expanded clay,0.3953,0,0,0.002582,0,0,5.559,0,0,4.44E-10,0,0,0.0001217,0,0,0.0001985,0,0
Light-weight sand expanded clay (grain size 0/4) ,0.4027,0,0,0.002594,0,0,5.634,0,0,4.81E-10,0,0,0.0001229,0,0,0.0001994,0,0
Expanded shale ,0.3521,0,0,0.00332,0,0,2.027,0,0,2.03E-10,0,0,0.0001225,0,0,0.0001408,0,0
"Expanded glass, granulate ",0.279,0,0,0.0008399,0,0,5.496,0,0,5.21E-10,0,0,0.0001961,0,0,0.00001966,0,0
Perlite (grain size 0/1) ,0.5485,0,0,0.0007666,0,0,7.5,0,0,1.55E-10,0,0,0.0001047,0,0,0.00008395,0,0
Perlite (grain size 0/3) ,0.5859,0,0,0.000811,0,0,8.019,0,0,1.57E-10,0,0,0.0001099,0,0,0.00008862,0,0
Furnace bottom ash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slag-tap granulate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly Ash ,0.2694,0,0,0.0008572,0,0,3.708,0,0,1.2E-11,0,0,0.0001922,0,0,0.0001051,0,0
Sand-lime brick,163.8,0,0,0.1397,0,0,1232,0,0,6.47E-08,0,0,0.02977,0,0,-0.0006354,0,0
Facing brick; clay- based,0.2328,0,0,0.0004952,0,0,3.637,0,0,1.7E-10,0,0,0.00005756,0,0,0.00008155,0,0
Aerated concrete block; average density 400kg/m3,188.9,0,0,0.2181,0,0,1298,0,0,0.000000193,0,0,0.02771,0,0,0.01511,0,0
"Aerated concrete block element; average density 500kg/m3, reinforced",287.6,0,0,0.4247,0,0,2143,0,0,0.000000303,0,0,0.04778,0,0,0.04736,0,0
"Lightweight concrete block (expanded clay, hollow block, density 0,6); expanded clay, hollow block, density 0,6 ",394,0,0,2.581,0,0,2620,0,0,0.000000219,0,0,0.1525,0,0,0.0935,0,0
"Lightweight concrete block (expanded clay, solid block, density 0,6); expanded clay, solid block, density 0,6",184.9,0,0,0.7454,0,0,1850,0,0,0.000000185,0,0,0.05553,0,0,0.04521,0,0
"Lightweight concrete block inner wall (density 0,7); 700 kg/m3, LB plan stone interior wall ",230.5,0,0,0.957,0,0,2344,0,0,0.000000209,0,0,0.07481,0,0,0.05939,0,0
Concrete bricks; 2000kg/m3,0.1229,0,0,0.0002109,0,0,0.67,0,0,1.07E-10,0,0,0.00003825,0,0,0.000006186,0,0
"Prefabricated concrete ceiling, 20cm; 504 kg/m2",131.4,0,0,0.2583,0,0,1006,0,0,-0.00000137,0,0,0.02571,0,0,0.03158,0,0
"Prefabricated concrete ceiling, 40cm; 1008 kg/m2",262.7,0,0,0.5166,0,0,2013,0,0,-0.00000274,0,0,0.05142,0,0,0.06316,0,0
"Prefabricated concrete stairs, 1,1 m width, 9 steps a 16 cm; 1965 kg",384.4,0,0,0.7907,0,0,3025,0,0,-0.000003697,0,0,0.08974,0,0,0.08464,0,0
"Prefabricated concrete wall, 12cm; 291,3 kg/m2",48.33,0,0,0.09147,0,0,0.09147,0,0,-0.000000256,0,0,0.01285,0,0,0.007221,0,0
"Prefabricated concrete wall, 40cm; 971 kg/m2",161.2,0,0,0.3051,0,0,1070,0,0,-0.000000855,0,0,0.04283,0,0,0.02411,0,0
"Concrete pipe, reinforced ",0.1751,0,0,0.0003291,0,0,1.193,0,0,-8.28E-10,0,0,0.00004558,0,0,0.00002585,0,0
"Concrete pipe, not reinforced",0.134,0,0,0.0002301,0,0,0.7309,0,0,1.16E-10,0,0,0.00004172,0,0,0.000006748,0,0
Stoneware pipes DN 250; 51kg/m,29.91,0,0,0.0319,0,0,434.6,0,0,3.39E-08,0,0,0.004271,0,0,0.003623,0,0
Stoneware pipes DN 400; 142kg/m,60.55,0,0,0.06823,0,0,844.1,0,0,0.000000068,0,0,0.00948,0,0,0.007495,0,0
"Stoneware tiles, glazed; 2000kg/m3",0.3286,0,0,0.0005706,0,0,5.053,0,0,3.19E-10,0,0,0.00006176,0,0,0.00003606,0,0
"Stoneware tiles, unglazed, 2000kg/m3",0.3597,0,0,0.0005813,0,0,5.616,0,0,3.2E-10,0,0,0.00005812,0,0,0.00003865,0,0
"Natural stone slab, rigid, exterior; 208 kg/m2",7.689,0,0,0.01401,0,0,79.12,0,0,7.85E-09,0,0,0.002166,0,0,0.002068,0,0
"Natural stone slab, rigid, façade; 78 kg/m2",41.08,0,0,0.2322,0,0,438.2,0,0,0.000000696,0,0,0.024,0,0,0.01719,0,0
"Natural stone slab, rigid, indoor; 52 kg/m2",40.11,0,0,0.2302,0,0,427.4,0,0,0.000000696,0,0,0.02365,0,0,0.01716,0,0
"Natural stone slab, flexible, façade; 104kg/m2",20.46,0,0,0.1068,0,0,217.7,0,0,0.000000312,0,0,0.01117,0,0,0.008514,0,0
"Natural stone slab, flexible, indoor; 52 kg/m2",19.01,0,0,0.105,0,0,203,0,0,0.000000311,0,0,0.01097,0,0,0.007697,0,0
Roof tile,0.4861,0,0,0.001,0,0,6.571,0,0,5.57E-10,0,0,0.0001121,0,0,0.00009874,0,0
Gypsum fibre board; 10kg/m2,3.547,0,0,0.004123,0,0,51.97,0,0,3.62E-09,0,0,0.0007595,0,0,0.0004461,0,0
Gypsum plaster board (Fire protection); 10kg/m2,2.445,0,0,0.003821,0,0,36.11,0,0,2.11E-09,0,0,0.00096,0,0,0.0003708,0,0
Gypsum plaster board (Moisture resistant); 10kg/m2,2.5,0,0,0.003773,0,0,37.32,0,0,8.17E-09,0,0,0.0009395,0,0,0.0002895,0,0
Gypsum plaster board (Acoustic ceilings); 8.5kg/m2,2.158,0,0,0.003351,0,0,33.21,0,0,1.99E-09,0,0,0.0008234,0,0,0.0003894,0,0
Gypsum wallboard; 84 kg/m2,24.56,0,0,0.024,0,0,381.8,0,0,1.07E-08,0,0,0.003443,0,0,0.002547,0,0
Dry screed (Gypsum fibre board); 24kg/m2,8.405,0,0,0.009943,0,0,124,0,0,8.75E-09,0,0,0.001859,0,0,0.0009715,0,0
Dry screed (Gypsum plaster board); 20kg/m2,4.876,0,0,0.007051,0,0,73.57,0,0,4.2E-09,0,0,0.001842,0,0,0.0005731,0,0
"Mineral fibres ceiling boards; 3,45 kg/m2",3.64,0,0,0.01526,0,0,55.41,0,0,2.84E-08,0,0,0.0009242,0,0,0.001095,0,0
Glass bricks; 1800 kg/m3,1.627,0,0,0.006948,0,0,17.37,0,0,7.54E-10,0,0,0.001303,0,0,0.0005525,0,0
Adobe; 1200 kg/m3,0.08646,0,0,0.00007881,0,0,1.381,0,0,4.6E-11,0,0,0.00001049,0,0,0.00001107,0,0
Rammed earth wall; 2000kg/m3,9.354,0,0,0.03416,0,0,125.2,0,0,4.96E-10,0,0,0.007589,0,0,0.006792,0,0
Gypsum interior plaster; 1000kg/m3,0.1485,0,0,0.0001848,0,0,2.063,0,0,2.14E-10,0,0,0.00002321,0,0,0.00002087,0,0
Gypsum lime plaster; 1400kg/m3,0.1627,0,0,0.0002,0,0,2.059,0,0,2.07E-10,0,0,0.00002777,0,0,0.00001255,0,0
Interior plaster (lime-gypsum); lime gypsum ,0.2313,0,0,0.0002283,0,0,2.115,0,0,1.64E-10,0,0,0.00004302,0,0,0.000005736,0,0
Lime interior plaster; Lime ,0.2251,0,0,0.0001886,0,0,1.313,0,0,1.15E-10,0,0,0.00004352,0,0,0.000004294,0,0
Synthetic resin plaster; Synthetic resin,0.7747,0,0,0.002587,0,0,16.81,0,0,1.98E-09,0,0,0.0002525,0,0,0.002518,0,0
